iter	Passed	Remaining
0	10	8015
1	18	7488
2	27	7250
3	35	7063
4	68	10941
5	81	10726
6	95	10780
7	106	10515
8	116	10209
9	128	10161
10	138	9954
11	149	9815
12	167	10114
13	178	10007
14	192	10098
15	203	9963
16	214	9857
17	226	9851
18	239	9849
19	250	9754
20	262	9736
21	275	9746
22	288	9729
23	299	9683
24	312	9682
25	322	9605
26	332	9527
27	346	9548
28	360	9583
29	373	9597
30	387	9615
31	398	9571
32	410	9531
33	422	9513
34	434	9489
35	444	9442
36	456	9417
37	467	9381
38	477	9314
39	488	9278
40	497	9211
41	510	9209
42	520	9170
43	529	9101
44	539	9051
45	550	9023
46	562	9008
47	574	9001
48	584	8956
49	593	8909
50	605	8892
51	617	8877
52	630	8886
53	641	8856
54	652	8832
55	666	8848
56	680	8869
57	691	8841
58	702	8818
59	714	8814
60	726	8804
61	736	8769
62	746	8736
63	757	8709
64	771	8721
65	784	8724
66	795	8703
67	805	8676
68	816	8651
69	827	8624
70	836	8586
71	846	8555
72	856	8525
73	864	8485
74	875	8465
75	884	8427
76	894	8396
77	903	8364
78	914	8343
79	924	8317
80	932	8280
81	941	8247
82	950	8211
83	960	8185
84	968	8149
85	978	8125
86	988	8098
87	996	8059
88	1005	8032
89	1013	7998
90	1023	7973
91	1031	7941
92	1042	7922
93	1051	7898
94	1060	7872
95	1070	7850
96	1079	7823
97	1090	7809
98	1099	7782
99	1108	7762
100	1118	7740
101	1127	7714
102	1137	7700
103	1148	7683
104	1164	7709
105	1176	7703
106	1193	7729
107	1206	7732
108	1221	7743
109	1234	7746
110	1244	7727
111	1256	7720
112	1267	7705
113	1277	7688
114	1291	7691
115	1304	7694
116	1320	7710
117	1331	7695
118	1343	7686
119	1354	7675
120	1367	7674
121	1376	7651
122	1388	7642
123	1400	7637
124	1413	7633
125	1426	7632
126	1437	7617
127	1447	7601
128	1458	7586
129	1473	7593
130	1485	7583
131	1498	7583
132	1509	7568
133	1520	7555
134	1524	7509
135	1535	7495
136	1548	7495
137	1562	7495
138	1572	7476
139	1584	7469
140	1600	7482
141	1616	7492
142	1628	7482
143	1641	7477
144	1653	7471
145	1665	7458
146	1676	7445
147	1687	7432
148	1697	7418
149	1710	7410
150	1722	7402
151	1732	7384
152	1747	7389
153	1761	7387
154	1774	7384
155	1785	7368
156	1795	7353
157	1807	7344
158	1819	7333
159	1830	7321
160	1842	7311
161	1855	7309
162	1866	7295
163	1877	7282
164	1890	7274
165	1900	7259
166	1910	7243
167	1922	7231
168	1932	7214
169	1943	7201
170	1954	7188
171	1963	7167
172	1974	7155
173	1984	7140
174	1994	7123
175	2004	7107
176	2013	7087
177	2023	7072
178	2035	7062
179	2048	7054
180	2058	7038
181	2069	7027
182	2079	7010
183	2089	6993
184	2100	6981
185	2109	6964
186	2120	6950
187	2131	6938
188	2141	6922
189	2155	6919
190	2168	6915
191	2181	6908
192	2192	6894
193	2204	6884
194	2216	6877
195	2232	6880
196	2244	6869
197	2254	6854
198	2266	6845
199	2277	6833
200	2288	6819
201	2300	6810
202	2312	6801
203	2322	6785
204	2332	6771
205	2345	6763
206	2357	6753
207	2368	6741
208	2384	6742
209	2395	6729
210	2403	6708
211	2411	6689
212	2419	6667
213	2428	6649
214	2437	6632
215	2446	6615
216	2455	6596
217	2463	6577
218	2474	6563
219	2483	6546
220	2493	6533
221	2503	6517
222	2512	6500
223	2521	6484
224	2530	6466
225	2542	6456
226	2551	6440
227	2562	6428
228	2574	6419
229	2585	6408
230	2595	6392
231	2605	6378
232	2613	6360
233	2622	6344
234	2631	6326
235	2641	6313
236	2651	6299
237	2660	6283
238	2671	6270
239	2679	6251
240	2688	6236
241	2697	6219
242	2706	6203
243	2715	6186
244	2723	6170
245	2733	6156
246	2742	6139
247	2751	6124
248	2758	6104
249	2767	6087
250	2777	6076
251	2786	6060
252	2796	6046
253	2804	6029
254	2813	6012
255	2821	5994
256	2829	5977
257	2837	5960
258	2845	5944
259	2853	5926
260	2862	5910
261	2870	5894
262	2879	5878
263	2888	5864
264	2897	5849
265	2905	5832
266	2914	5818
267	2922	5801
268	2930	5785
269	2938	5767
270	2947	5753
271	2961	5749
272	2970	5734
273	2982	5724
274	2995	5719
275	3010	5714
276	3021	5705
277	3035	5699
278	3049	5694
279	3063	5689
280	3074	5679
281	3085	5667
282	3099	5662
283	3115	5660
284	3127	5650
285	3135	5634
286	3144	5620
287	3154	5607
288	3162	5591
289	3170	5575
290	3178	5559
291	3186	5543
292	3194	5527
293	3204	5515
294	3213	5500
295	3224	5490
296	3234	5477
297	3243	5463
298	3253	5451
299	3266	5444
300	3279	5436
301	3292	5428
302	3303	5418
303	3312	5404
304	3322	5391
305	3330	5376
306	3339	5362
307	3348	5348
308	3357	5335
309	3366	5321
310	3375	5307
311	3385	5295
312	3394	5280
313	3403	5268
314	3412	5254
315	3421	5240
316	3430	5226
317	3440	5215
318	3451	5204
319	3461	5191
320	3472	5182
321	3483	5171
322	3492	5157
323	3502	5145
324	3511	5132
325	3522	5121
326	3532	5109
327	3542	5097
328	3554	5089
329	3568	5082
330	3584	5078
331	3594	5067
332	3604	5055
333	3616	5045
334	3626	5033
335	3636	5021
336	3647	5011
337	3657	4998
338	3666	4986
339	3676	4974
340	3685	4961
341	3696	4950
342	3705	4937
343	3717	4927
344	3728	4917
345	3736	4902
346	3747	4891
347	3755	4878
348	3765	4865
349	3775	4854
350	3783	4840
351	3792	4826
352	3802	4814
353	3813	4803
354	3824	4794
355	3834	4781
356	3846	4772
357	3857	4762
358	3868	4751
359	3880	4743
360	3893	4734
361	3902	4721
362	3911	4709
363	3921	4696
364	3930	4683
365	3939	4671
366	3948	4658
367	3959	4647
368	3967	4634
369	3976	4621
370	3983	4606
371	3993	4595
372	4001	4581
373	4010	4567
374	4018	4554
